network,seed,hosts,vulns,model,filter,aggregation,num_paths,id_path,impact,exploit,score,risk,mod,path_time,source,target
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,78,5.873118720000001,3.8870427750000003,9.8,15.3091771896686,6.4255862472229355,0.04,USER@host-7,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,79,5.873118720000001,3.8870427750000003,9.8,0.0,2.973934007222672,0.05,USER@host-7,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,80,5.873118720000001,3.8870427750000003,9.8,13.067221035806565,6.280429429495531,0.04,USER@host-7,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,81,5.873118720000001,3.8870427750000003,9.8,3.8436402492749147,3.066046446577555,0.05,USER@host-7,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,82,5.873118720000001,3.8870427750000003,9.8,14.956090959228177,6.401433753610037,0.04,USER@host-7,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,83,5.873118720000001,3.8870427750000003,9.8,15.978771406875886,6.472675309774649,0.04,USER@host-7,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,84,5.873118720000001,3.8870427750000003,9.8,10.38974842014267,4.612694743957309,0.03,USER@host-7,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,85,5.873118720000001,3.8870427750000003,9.8,14.193646801708782,6.350907720793592,0.05,USER@host-7,NONE@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,86,5.873118720000001,3.8870427750000003,9.8,15.932484963822946,6.469366610095662,0.02,NONE@host-5,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,87,5.873118720000001,3.8870427750000003,9.8,15.438929926888358,6.4345802033412705,0.02,NONE@host-5,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,88,5.873118720000001,3.8870427750000003,9.8,13.223033913809038,6.289876882209016,0.02,NONE@host-5,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,89,5.873118720000001,3.8870427750000003,9.8,0.0,2.9991618896250003,0.02,NONE@host-5,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,90,5.873118720000001,3.8870427750000003,9.8,13.223033913809038,6.289876882209016,0.02,NONE@host-5,USER@host-2
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,91,5.873118720000001,3.8870427750000003,9.8,3.88181109287862,3.090058769110124,0.02,NONE@host-5,NONE@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,92,5.873118720000001,3.8870427750000003,9.8,15.10589784723719,6.411623401292338,0.02,NONE@host-5,USER@host-0
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,93,5.873118720000001,3.8870427750000003,9.8,16.12771847989074,6.483376068697986,0.02,NONE@host-5,USER@host-9
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,0,94,94,5.873118720000001,3.8870427750000003,9.8,10.24021594886598,4.586751385400671,0.02,NONE@host-5,NONE@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,1,5.873118720000001,3.8870427750000003,9.8,14.70909677539269,6.384820567520032,0.02,USER@host-3,USER@host-5
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,2,5.873118720000001,3.8870427750000003,9.8,14.70909677539269,6.384820567520032,0.02,USER@host-3,USER@host-1
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,3,5.873118720000001,3.8870427750000003,9.8,12.809030001209178,6.264990408629176,0.02,USER@host-3,USER@host-7
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,4,5.873118720000001,3.8870427750000003,9.8,0.0,2.7050192481573037,0.01,USER@host-3,NONE@host-3
s1_h10_v10_filter_aggregation,1,10,10,NETSPA,0,1,94,5,5.873118720000001,3.8870427750000003,9.8,12.809030001209178,6.264990408629176,0.02,USER@host-3,USER@host-2
