network,scan,step,filter,aggregation,model,generation_time
merged_f1_t230,merged,230,1,1,NETSPA,0.22442090002004988
merged_f1_t230,merged,230,1,1,TVA,0.15079970000078902
merged_f1_t230,merged,230,1,1,MULTI,0.2300826999999117
merged_f1_t220,merged,220,1,2,NETSPA,0.09294680002494715
merged_f1_t220,merged,220,1,2,TVA,0.11208449999685399
merged_f1_t220,merged,220,1,2,MULTI,0.16527210001368076
merged_f1_t220,merged,220,1,3,NETSPA,0.06087600000319071
merged_f1_t220,merged,220,1,3,TVA,0.13503500001388602
merged_f1_t220,merged,220,1,3,MULTI,0.08924339999794029
merged_f1_t240,merged,240,1,2,NETSPA,0.17159489999176003
merged_f1_t240,merged,240,1,2,TVA,0.09441409999271855
merged_f1_t240,merged,240,1,2,MULTI,0.18752070001210086
merged_f1_t230,merged,230,1,2,NETSPA,0.09714669999084435
merged_f1_t230,merged,230,1,2,TVA,0.0997841999924276
merged_f1_t230,merged,230,1,2,MULTI,0.20520109997596592
merged_f1_t240,merged,240,1,3,NETSPA,0.06675330002326518
merged_f1_t240,merged,240,1,3,TVA,0.06758920001448132
merged_f1_t240,merged,240,1,3,MULTI,0.18206279998412356
merged_f1_t230,merged,230,1,3,NETSPA,0.0893668000062462
merged_f1_t230,merged,230,1,3,TVA,0.1432292000099551
merged_f1_t230,merged,230,1,3,MULTI,0.06887519999872893
merged_f1_t250,merged,250,1,0,NETSPA,0.2182977999909781
merged_f1_t250,merged,250,1,0,TVA,0.21359600001596846
merged_f1_t250,merged,250,1,0,MULTI,0.34991429999354295
merged_f1_t270,merged,270,1,0,NETSPA,0.16608180000912398
merged_f1_t270,merged,270,1,0,TVA,0.24808210000628605
merged_f1_t270,merged,270,1,0,MULTI,0.27841719999560155
merged_f1_t260,merged,260,1,0,NETSPA,0.18323049999889918
merged_f1_t260,merged,260,1,0,TVA,0.2691654000082053
merged_f1_t260,merged,260,1,0,MULTI,0.2783904999960214
merged_f1_t250,merged,250,1,1,NETSPA,0.09310619998723269
merged_f1_t250,merged,250,1,1,TVA,0.08849659998668358
merged_f1_t250,merged,250,1,1,MULTI,0.2590734999976121
merged_f1_t260,merged,260,1,1,NETSPA,0.21468370000366122
merged_f1_t260,merged,260,1,1,TVA,0.10310959999333136
merged_f1_t260,merged,260,1,1,MULTI,0.19038489999365993
merged_f1_t250,merged,250,1,2,NETSPA,0.10845780000090599
merged_f1_t250,merged,250,1,2,TVA,0.16986009999527596
merged_f1_t250,merged,250,1,2,MULTI,0.10674940000171773
merged_f1_t270,merged,270,1,1,NETSPA,0.21359790000133216
merged_f1_t270,merged,270,1,1,TVA,0.12868860000162385
merged_f1_t270,merged,270,1,1,MULTI,0.24537299998337403
merged_f1_t260,merged,260,1,2,NETSPA,0.08441549999406561
merged_f1_t260,merged,260,1,2,TVA,0.07511890001478605
merged_f1_t260,merged,260,1,2,MULTI,0.19117549998918548
merged_f1_t250,merged,250,1,3,NETSPA,0.10167479998199269
merged_f1_t250,merged,250,1,3,TVA,0.179634799977066
merged_f1_t250,merged,250,1,3,MULTI,0.09425250001368113
merged_f1_t270,merged,270,1,2,NETSPA,0.08027279999805614
merged_f1_t270,merged,270,1,2,TVA,0.0883140999940224
merged_f1_t270,merged,270,1,2,MULTI,0.17205049999756739
merged_f1_t260,merged,260,1,3,NETSPA,0.07521089998772368
merged_f1_t260,merged,260,1,3,TVA,0.14750170000479557
merged_f1_t260,merged,260,1,3,MULTI,0.08520249999128282
merged_f1_t270,merged,270,1,3,NETSPA,0.08138489999691956
merged_f1_t270,merged,270,1,3,TVA,0.16764250001870096
merged_f1_t270,merged,270,1,3,MULTI,0.08370560000184923
merged_f1_t280,merged,280,1,0,NETSPA,0.21110280000721104
merged_f1_t280,merged,280,1,0,TVA,0.22048330001416616
merged_f1_t280,merged,280,1,0,MULTI,0.38158700001076795
merged_f1_t290,merged,290,1,0,NETSPA,0.14499329999671318
merged_f1_t290,merged,290,1,0,TVA,0.2899230000039097
merged_f1_t290,merged,290,1,0,MULTI,0.31229880001046695
merged_f1_t300,merged,300,1,0,NETSPA,0.1316506000002846
merged_f1_t300,merged,300,1,0,TVA,0.2861636999878101
merged_f1_t300,merged,300,1,0,MULTI,0.4132785999972839
merged_f1_t280,merged,280,1,1,NETSPA,0.09145939999143593
merged_f1_t280,merged,280,1,1,TVA,0.11112230000435375
merged_f1_t280,merged,280,1,1,MULTI,0.23755449999589473
merged_f1_t290,merged,290,1,1,NETSPA,0.16824140000971965
merged_f1_t290,merged,290,1,1,TVA,0.10366870000143535
merged_f1_t290,merged,290,1,1,MULTI,0.2987768999882974
merged_f1_t300,merged,300,1,1,NETSPA,0.10966809999081306
merged_f1_t300,merged,300,1,1,TVA,0.12590859999181703
merged_f1_t300,merged,300,1,1,MULTI,0.2791459999862127
merged_f1_t280,merged,280,1,2,NETSPA,0.10989780002273619
merged_f1_t280,merged,280,1,2,TVA,0.2332819000002928
merged_f1_t280,merged,280,1,2,MULTI,0.10796249998384155
merged_f1_t290,merged,290,1,2,NETSPA,0.07915550001780502
merged_f1_t290,merged,290,1,2,TVA,0.17545889999018982
merged_f1_t290,merged,290,1,2,MULTI,0.06378710002172738
merged_f1_t280,merged,280,1,3,NETSPA,0.0851496999966912
merged_f1_t280,merged,280,1,3,TVA,0.16573199999402277
merged_f1_t280,merged,280,1,3,MULTI,0.07596109999576584
merged_f1_t300,merged,300,1,2,NETSPA,0.09325790000730194
merged_f1_t300,merged,300,1,2,TVA,0.2030883000115864
merged_f1_t300,merged,300,1,2,MULTI,0.10065819998271763
merged_f1_t290,merged,290,1,3,NETSPA,0.08691450001788326
merged_f1_t290,merged,290,1,3,TVA,0.1790010999829974
merged_f1_t290,merged,290,1,3,MULTI,0.09978779999073595
merged_f1_t300,merged,300,1,3,NETSPA,0.07978709999588318
merged_f1_t300,merged,300,1,3,TVA,0.14558479998959228
merged_f1_t300,merged,300,1,3,MULTI,0.06624060001922771
merged_f1_t30,merged,30,1,0,NETSPA,0.23418840000522323
merged_f1_t30,merged,30,1,0,TVA,0.20028660001116805
merged_f1_t30,merged,30,1,0,MULTI,0.3511781000124756
merged_f1_t310,merged,310,1,0,NETSPA,0.263770099991234
merged_f1_t310,merged,310,1,0,TVA,0.19335590000264347
merged_f1_t310,merged,310,1,0,MULTI,0.38374649998149835
merged_f1_t30,merged,30,1,1,NETSPA,0.10633609999786131
merged_f1_t30,merged,30,1,1,TVA,0.18997659999877214
merged_f1_t30,merged,30,1,1,MULTI,0.13877900000079535
merged_f1_t320,merged,320,1,0,NETSPA,0.28845940000610426
merged_f1_t320,merged,320,1,0,TVA,0.22301370001514442
merged_f1_t320,merged,320,1,0,MULTI,0.37538969999877736
merged_f1_t310,merged,310,1,1,NETSPA,0.0860095999960322
merged_f1_t310,merged,310,1,1,TVA,0.1133032999932766
merged_f1_t310,merged,310,1,1,MULTI,0.2490195999853313
merged_f1_t30,merged,30,1,2,NETSPA,0.0632505000103265
merged_f1_t30,merged,30,1,2,TVA,0.18484789997455664
merged_f1_t30,merged,30,1,2,MULTI,0.09819260000949726
merged_f1_t320,merged,320,1,1,NETSPA,0.11931149999145418
merged_f1_t320,merged,320,1,1,TVA,0.12148830000660382
merged_f1_t320,merged,320,1,1,MULTI,0.21970330001204275
merged_f1_t310,merged,310,1,2,NETSPA,0.10618090000934899
merged_f1_t310,merged,310,1,2,TVA,0.15874590000021271
merged_f1_t310,merged,310,1,2,MULTI,0.09596919998875819
merged_f1_t30,merged,30,1,3,NETSPA,0.18729589998838492
merged_f1_t30,merged,30,1,3,TVA,0.07664859999204054
merged_f1_t30,merged,30,1,3,MULTI,0.07676609998452477
merged_f1_t320,merged,320,1,2,NETSPA,0.0709752999828197
merged_f1_t320,merged,320,1,2,TVA,0.12597120000282302
merged_f1_t320,merged,320,1,2,MULTI,0.1105641000031028
merged_f1_t310,merged,310,1,3,NETSPA,0.08257129997946322
merged_f1_t310,merged,310,1,3,TVA,0.13620889998856
merged_f1_t310,merged,310,1,3,MULTI,0.08279429998947307
merged_f1_t320,merged,320,1,3,NETSPA,0.07869419999769889
merged_f1_t320,merged,320,1,3,TVA,0.16710850002709776
merged_f1_t320,merged,320,1,3,MULTI,0.07058680002228357
merged_f1_t330,merged,330,1,0,NETSPA,0.1602345000137575
merged_f1_t330,merged,330,1,0,TVA,0.18115889999899082
merged_f1_t330,merged,330,1,0,MULTI,0.4126152000098955
merged_f1_t340,merged,340,1,0,NETSPA,0.23670209999545477
merged_f1_t340,merged,340,1,0,TVA,0.1656856999907177
merged_f1_t340,merged,340,1,0,MULTI,0.3348703999945428
merged_f1_t330,merged,330,1,1,NETSPA,0.0817774000170175
merged_f1_t330,merged,330,1,1,TVA,0.1799732000217773
merged_f1_t330,merged,330,1,1,MULTI,0.10190350000630133
merged_f1_t350,merged,350,1,0,NETSPA,0.22087700001429766
merged_f1_t350,merged,350,1,0,TVA,0.14422940000076778
merged_f1_t350,merged,350,1,0,MULTI,0.3619551000010688
merged_f1_t340,merged,340,1,1,NETSPA,0.10592490000999533
merged_f1_t340,merged,340,1,1,TVA,0.1273388999979943
merged_f1_t340,merged,340,1,1,MULTI,0.24994629999855533
merged_f1_t330,merged,330,1,2,NETSPA,0.20256849998258986
merged_f1_t330,merged,330,1,2,TVA,0.10018959999433719
merged_f1_t330,merged,330,1,2,MULTI,0.09504149999702349
merged_f1_t350,merged,350,1,1,NETSPA,0.09520720000728033
merged_f1_t350,merged,350,1,1,TVA,0.10402730002533644
merged_f1_t350,merged,350,1,1,MULTI,0.2291220000188332
merged_f1_t340,merged,340,1,2,NETSPA,0.11078119999729097
merged_f1_t340,merged,340,1,2,TVA,0.1647571999928914
merged_f1_t340,merged,340,1,2,MULTI,0.06068330002017319
merged_f1_t350,merged,350,1,2,NETSPA,0.06844649999402463
merged_f1_t350,merged,350,1,2,TVA,0.1726935000042431
merged_f1_t350,merged,350,1,2,MULTI,0.09142599999904633
merged_f1_t330,merged,330,1,3,NETSPA,0.18259349997970276
merged_f1_t330,merged,330,1,3,TVA,0.08048210002016276
merged_f1_t330,merged,330,1,3,MULTI,0.17525380000006407
merged_f1_t340,merged,340,1,3,NETSPA,0.0905769000237342
merged_f1_t340,merged,340,1,3,TVA,0.14395950001198798
merged_f1_t340,merged,340,1,3,MULTI,0.05352629997651093
merged_f1_t350,merged,350,1,3,NETSPA,0.07993659999920055
merged_f1_t350,merged,350,1,3,TVA,0.1763621999998577
merged_f1_t350,merged,350,1,3,MULTI,0.06330999999772757
merged_f1_t360,merged,360,1,0,NETSPA,0.13114080001832917
merged_f1_t360,merged,360,1,0,TVA,0.17077309999149293
merged_f1_t360,merged,360,1,0,MULTI,0.4022530999791343
merged_f1_t370,merged,370,1,0,NETSPA,0.21107600000686944
merged_f1_t370,merged,370,1,0,TVA,0.20478410000214353
merged_f1_t370,merged,370,1,0,MULTI,0.4023274999926798
merged_f1_t380,merged,380,1,0,NETSPA,0.23192510000080802
merged_f1_t380,merged,380,1,0,TVA,0.20923429998219945
merged_f1_t380,merged,380,1,0,MULTI,0.31076259998371825
merged_f1_t360,merged,360,1,1,NETSPA,0.09124800001154654
merged_f1_t360,merged,360,1,1,TVA,0.1655408999940846
merged_f1_t360,merged,360,1,1,MULTI,0.1459294999949634
merged_f1_t380,merged,380,1,1,NETSPA,0.0813272999948822
merged_f1_t380,merged,380,1,1,TVA,0.21806549999746494
merged_f1_t380,merged,380,1,1,MULTI,0.15659830000367947
merged_f1_t360,merged,360,1,2,NETSPA,0.16982300000381656
merged_f1_t360,merged,360,1,2,TVA,0.10300639999331906
merged_f1_t360,merged,360,1,2,MULTI,0.10058850000496022
merged_f1_t370,merged,370,1,1,NETSPA,0.09481740000774153
merged_f1_t370,merged,370,1,1,TVA,0.1217389999947045
merged_f1_t370,merged,370,1,1,MULTI,0.2854298999882303
merged_f1_t380,merged,380,1,2,NETSPA,0.09461930001270957
merged_f1_t380,merged,380,1,2,TVA,0.18863300001248717
merged_f1_t380,merged,380,1,2,MULTI,0.06950389998382889
merged_f1_t370,merged,370,1,2,NETSPA,0.09171780000906438
merged_f1_t370,merged,370,1,2,TVA,0.19612389997928403
merged_f1_t370,merged,370,1,2,MULTI,0.08506019998458214
merged_f1_t360,merged,360,1,3,NETSPA,0.1937649000028614
merged_f1_t360,merged,360,1,3,TVA,0.09445130001404323
merged_f1_t360,merged,360,1,3,MULTI,0.1536406000086572
merged_f1_t380,merged,380,1,3,NETSPA,0.16323770000599325
merged_f1_t380,merged,380,1,3,TVA,0.08622249998734333
merged_f1_t380,merged,380,1,3,MULTI,0.0663246999902185
merged_f1_t370,merged,370,1,3,NETSPA,0.06939450002391823
merged_f1_t370,merged,370,1,3,TVA,0.14276709998375736
merged_f1_t370,merged,370,1,3,MULTI,0.07299630000488833
merged_f1_t390,merged,390,1,0,NETSPA,0.16760110002360307
merged_f1_t390,merged,390,1,0,TVA,0.31551160002709366
merged_f1_t390,merged,390,1,0,MULTI,0.30006560002220795
merged_f1_t400,merged,400,1,0,NETSPA,0.24190990001079626
merged_f1_t400,merged,400,1,0,TVA,0.22016480000456795
merged_f1_t400,merged,400,1,0,MULTI,0.3748699000279885
merged_f1_t40,merged,40,1,0,NETSPA,0.2680537000123877
merged_f1_t40,merged,40,1,0,TVA,0.18284310001763515
merged_f1_t40,merged,40,1,0,MULTI,0.41491739999037236
merged_f1_t390,merged,390,1,1,NETSPA,0.09286280002561398
merged_f1_t390,merged,390,1,1,TVA,0.16639980001491494
merged_f1_t390,merged,390,1,1,MULTI,0.1333998000191059
merged_f1_t400,merged,400,1,1,NETSPA,0.07867489999625832
merged_f1_t400,merged,400,1,1,TVA,0.20020779999322258
merged_f1_t400,merged,400,1,1,MULTI,0.1278745000017807
merged_f1_t40,merged,40,1,1,NETSPA,0.07150690001435578
merged_f1_t40,merged,40,1,1,TVA,0.2150520000141114
merged_f1_t40,merged,40,1,1,MULTI,0.14737500000046566
merged_f1_t390,merged,390,1,2,NETSPA,0.1336930000106804
merged_f1_t390,merged,390,1,2,TVA,0.09323610001592897
merged_f1_t390,merged,390,1,2,MULTI,0.2131548999750521
merged_f1_t400,merged,400,1,2,NETSPA,0.18767569999909028
merged_f1_t400,merged,400,1,2,TVA,0.09277440002188087
merged_f1_t400,merged,400,1,2,MULTI,0.06830840001930483
merged_f1_t40,merged,40,1,2,NETSPA,0.0758161999983713
merged_f1_t40,merged,40,1,2,TVA,0.18780629997490905
merged_f1_t40,merged,40,1,2,MULTI,0.08367740001995116
merged_f1_t390,merged,390,1,3,NETSPA,0.07342750002862886
merged_f1_t390,merged,390,1,3,TVA,0.07676140000694431
merged_f1_t390,merged,390,1,3,MULTI,0.16740310000022873
merged_f1_t40,merged,40,1,3,NETSPA,0.16675919998669997
merged_f1_t40,merged,40,1,3,TVA,0.07386309999856167
merged_f1_t40,merged,40,1,3,MULTI,0.06864849998964928
merged_f1_t400,merged,400,1,3,NETSPA,0.15849489998072386
merged_f1_t400,merged,400,1,3,TVA,0.059790700004668906
merged_f1_t400,merged,400,1,3,MULTI,0.16908279998460785
merged_f1_t410,merged,410,1,0,NETSPA,0.1751444999827072
merged_f1_t410,merged,410,1,0,TVA,0.30410700000356883
merged_f1_t410,merged,410,1,0,MULTI,0.2959225999948103
