network,scan,step,filter,aggregation,model,num_nodes,num_edges,density,num_strong_components,indegree,outdegree,close_centrality,avg_indegree,avg_outdegree,avg_close_centrality
merged_f1_t150_aggregation,merged,150,1,1,MULTI,24,1424,2.579710144927536,9,"[0.75, 25.5, 43.0]","[13.0, 23.0, 142.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",59.333333333333336,59.333333333333336,0.49151239340026537
merged_f1_t150_aggregation,merged,150,1,2,MULTI,24,464,0.8405797101449275,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 34.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",19.333333333333332,19.333333333333332,0.46419692003216034
merged_f1_t150_aggregation,merged,150,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t150_aggregation,merged,150,1,0,NETSPA,631,1260,0.003169572107765452,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.33798283261802575, 0.33798283261802575, 0.33798283261802575]",1.9968304278922346,1.9968304278922346,0.33230532241561117
merged_f1_t150_aggregation,merged,150,1,1,NETSPA,200,398,0.01,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.34851138353765326, 0.34851138353765326, 0.34851138353765326]",1.99,1.99,0.32965288325137154
merged_f1_t150_aggregation,merged,150,1,2,NETSPA,80,158,0.025,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2909790086911858, 0.3744075829383886, 0.3744075829383886]",1.975,1.975,0.32302877557925447
merged_f1_t150_aggregation,merged,150,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t150_aggregation,merged,150,1,0,TVA,630,5478,0.013823907941555,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.27205882352941174, 0.27205882352941174, 0.27205882352941174]",8.695238095238095,8.695238095238095,0.2789848208221886
merged_f1_t150_aggregation,merged,150,1,1,TVA,199,1599,0.040581696360590835,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28820960698689957, 0.2886297376093295, 0.2886297376093295]",8.035175879396984,8.035175879396984,0.2999178985971232
merged_f1_t150_aggregation,merged,150,1,2,TVA,79,519,0.08422590068159688,9,"[5.5, 8.0, 8.0]","[1.0, 1.0, 7.0]","[0.30115830115830117, 0.3046875, 0.36974299065420557]",6.569620253164557,6.569620253164557,0.30829082209923936
merged_f1_t150_aggregation,merged,150,1,3,TVA,26,84,0.12923076923076923,12,"[1.0, 1.0, 8.0]","[1.0, 1.0, 8.0]","[0.18962962962962962, 0.23684210526315788, 0.375]",3.230769230769231,3.230769230769231,0.26201934667535665
merged_f1_t160_aggregation,merged,160,1,0,MULTI,24,4872,8.826086956521738,9,"[0.75, 33.5, 76.0]","[31.0, 42.0, 536.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",203.0,203.0,0.49151239340026537
merged_f1_t160_aggregation,merged,160,1,1,MULTI,24,1424,2.579710144927536,9,"[0.75, 25.5, 43.0]","[13.0, 23.0, 142.0]","[0.03260869565217391, 0.6134423897581792, 0.7666666666666667]",59.333333333333336,59.333333333333336,0.49151239340026537
merged_f1_t160_aggregation,merged,160,1,2,MULTI,24,464,0.8405797101449275,9,"[0.75, 17.5, 33.0]","[7.0, 17.0, 34.0]","[0.03260869565217391, 0.5526315789473684, 0.7666666666666667]",19.333333333333332,19.333333333333332,0.46419692003216034
merged_f1_t160_aggregation,merged,160,1,3,MULTI,18,76,0.24836601307189543,11,"[1.0, 2.0, 8.0]","[1.0, 2.0, 8.0]","[0.2801120448179272, 0.3095975232198142, 0.43315508021390375]",4.222222222222222,4.222222222222222,0.33881437333449715
merged_f1_t160_aggregation,merged,160,1,0,NETSPA,631,1260,0.003169572107765452,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.33798283261802575, 0.33798283261802575, 0.33798283261802575]",1.9968304278922346,1.9968304278922346,0.33230532241561117
merged_f1_t160_aggregation,merged,160,1,1,NETSPA,200,398,0.01,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.34851138353765326, 0.34851138353765326, 0.34851138353765326]",1.99,1.99,0.32965288325137154
merged_f1_t160_aggregation,merged,160,1,2,NETSPA,80,158,0.025,9,"[1.0, 1.0, 1.0]","[1.0, 1.0, 1.0]","[0.2909790086911858, 0.3744075829383886, 0.3744075829383886]",1.975,1.975,0.32302877557925447
merged_f1_t160_aggregation,merged,160,1,3,NETSPA,27,44,0.06267806267806268,3,"[1.0, 1.0, 1.0]","[1.0, 1.0, 2.0]","[0.24299065420560748, 0.3023255813953488, 0.41935483870967744]",1.6296296296296295,1.6296296296296295,0.3126039217563747
merged_f1_t160_aggregation,merged,160,1,0,TVA,630,5478,0.013823907941555,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.27205882352941174, 0.27205882352941174, 0.27205882352941174]",8.695238095238095,8.695238095238095,0.2789848208221886
merged_f1_t160_aggregation,merged,160,1,1,TVA,199,1599,0.040581696360590835,9,"[8.0, 8.0, 8.0]","[1.0, 1.0, 1.0]","[0.28820960698689957, 0.2886297376093295, 0.2886297376093295]",8.035175879396984,8.035175879396984,0.2999178985971232
