network,scan,step,filter,aggregation,model,aggregation_time
merged_f1_t200,merged,200,1,1,TVA,0.005182799999602139
merged_f1_t200,merged,200,1,1,MULTI,0.005182799999602139
merged_f1_t200,merged,200,1,2,NETSPA,0.013323899998795241
merged_f1_t200,merged,200,1,2,TVA,0.013323899998795241
merged_f1_t200,merged,200,1,2,MULTI,0.013323899998795241
merged_f1_t200,merged,200,1,3,NETSPA,0.00639599998248741
merged_f1_t200,merged,200,1,3,TVA,0.00639599998248741
merged_f1_t200,merged,200,1,3,MULTI,0.00639599998248741
merged_f1_t210,merged,210,1,0,NETSPA,0
merged_f1_t210,merged,210,1,0,TVA,0
merged_f1_t210,merged,210,1,0,MULTI,0
merged_f1_t210,merged,210,1,1,NETSPA,0.0051195000123698264
merged_f1_t210,merged,210,1,1,TVA,0.0051195000123698264
merged_f1_t210,merged,210,1,1,MULTI,0.0051195000123698264
merged_f1_t210,merged,210,1,2,NETSPA,0.008533599990187213
merged_f1_t210,merged,210,1,2,TVA,0.008533599990187213
merged_f1_t210,merged,210,1,2,MULTI,0.008533599990187213
merged_f1_t210,merged,210,1,3,NETSPA,0.006017600011546165
merged_f1_t210,merged,210,1,3,TVA,0.006017600011546165
merged_f1_t210,merged,210,1,3,MULTI,0.006017600011546165
merged_f1_t220,merged,220,1,0,NETSPA,0
merged_f1_t220,merged,220,1,0,TVA,0
merged_f1_t220,merged,220,1,0,MULTI,0
merged_f1_t220,merged,220,1,1,NETSPA,0.004525800002738833
merged_f1_t220,merged,220,1,1,TVA,0.004525800002738833
merged_f1_t220,merged,220,1,1,MULTI,0.004525800002738833
merged_f1_t220,merged,220,1,2,NETSPA,0.00853389999247156
merged_f1_t220,merged,220,1,2,TVA,0.00853389999247156
merged_f1_t220,merged,220,1,2,MULTI,0.00853389999247156
merged_f1_t220,merged,220,1,3,NETSPA,0.004969400004483759
merged_f1_t220,merged,220,1,3,TVA,0.004969400004483759
merged_f1_t220,merged,220,1,3,MULTI,0.004969400004483759
merged_f1_t230,merged,230,1,0,NETSPA,0
merged_f1_t230,merged,230,1,0,TVA,0
merged_f1_t230,merged,230,1,0,MULTI,0
merged_f1_t230,merged,230,1,1,NETSPA,0.0051469999889377505
merged_f1_t230,merged,230,1,1,TVA,0.0051469999889377505
merged_f1_t230,merged,230,1,1,MULTI,0.0051469999889377505
merged_f1_t230,merged,230,1,2,NETSPA,0.011357000010320917
merged_f1_t230,merged,230,1,2,TVA,0.011357000010320917
merged_f1_t230,merged,230,1,2,MULTI,0.011357000010320917
merged_f1_t230,merged,230,1,3,NETSPA,0.0064990000100806355
merged_f1_t230,merged,230,1,3,TVA,0.0064990000100806355
merged_f1_t230,merged,230,1,3,MULTI,0.0064990000100806355
merged_f1_t240,merged,240,1,0,NETSPA,0
merged_f1_t240,merged,240,1,0,TVA,0
merged_f1_t240,merged,240,1,0,MULTI,0
merged_f1_t240,merged,240,1,1,NETSPA,0.005336300004273653
merged_f1_t240,merged,240,1,1,TVA,0.005336300004273653
merged_f1_t240,merged,240,1,1,MULTI,0.005336300004273653
merged_f1_t240,merged,240,1,2,NETSPA,0.009535100020002574
merged_f1_t240,merged,240,1,2,TVA,0.009535100020002574
merged_f1_t240,merged,240,1,2,MULTI,0.009535100020002574
merged_f1_t240,merged,240,1,3,NETSPA,0.005445899994811043
merged_f1_t240,merged,240,1,3,TVA,0.005445899994811043
merged_f1_t240,merged,240,1,3,MULTI,0.005445899994811043
merged_f1_t250,merged,250,1,0,NETSPA,0
merged_f1_t250,merged,250,1,0,TVA,0
merged_f1_t250,merged,250,1,0,MULTI,0
merged_f1_t250,merged,250,1,1,NETSPA,0.004417100019054487
merged_f1_t250,merged,250,1,1,TVA,0.004417100019054487
merged_f1_t250,merged,250,1,1,MULTI,0.004417100019054487
merged_f1_t250,merged,250,1,2,NETSPA,0.01086459998623468
merged_f1_t250,merged,250,1,2,TVA,0.01086459998623468
merged_f1_t250,merged,250,1,2,MULTI,0.01086459998623468
merged_f1_t250,merged,250,1,3,NETSPA,0.005105699994601309
merged_f1_t250,merged,250,1,3,TVA,0.005105699994601309
merged_f1_t250,merged,250,1,3,MULTI,0.005105699994601309
merged_f1_t260,merged,260,1,0,NETSPA,0
merged_f1_t260,merged,260,1,0,TVA,0
merged_f1_t260,merged,260,1,0,MULTI,0
merged_f1_t260,merged,260,1,1,NETSPA,0.005614900001091883
merged_f1_t260,merged,260,1,1,TVA,0.005614900001091883
merged_f1_t260,merged,260,1,1,MULTI,0.005614900001091883
merged_f1_t260,merged,260,1,2,NETSPA,0.00587009999435395
merged_f1_t260,merged,260,1,2,TVA,0.00587009999435395
merged_f1_t260,merged,260,1,2,MULTI,0.00587009999435395
merged_f1_t260,merged,260,1,3,NETSPA,0.008185699989553541
merged_f1_t260,merged,260,1,3,TVA,0.008185699989553541
merged_f1_t260,merged,260,1,3,MULTI,0.008185699989553541
merged_f1_t270,merged,270,1,0,NETSPA,0
merged_f1_t270,merged,270,1,0,TVA,0
merged_f1_t270,merged,270,1,0,MULTI,0
merged_f1_t270,merged,270,1,1,NETSPA,0.0034694999922066927
merged_f1_t270,merged,270,1,1,TVA,0.0034694999922066927
merged_f1_t270,merged,270,1,1,MULTI,0.0034694999922066927
merged_f1_t270,merged,270,1,2,NETSPA,0.006241199997020885
merged_f1_t270,merged,270,1,2,TVA,0.006241199997020885
merged_f1_t270,merged,270,1,2,MULTI,0.006241199997020885
merged_f1_t270,merged,270,1,3,NETSPA,0.005442800000309944
merged_f1_t270,merged,270,1,3,TVA,0.005442800000309944
merged_f1_t270,merged,270,1,3,MULTI,0.005442800000309944
merged_f1_t280,merged,280,1,0,NETSPA,0
merged_f1_t280,merged,280,1,0,TVA,0
merged_f1_t280,merged,280,1,0,MULTI,0
merged_f1_t280,merged,280,1,1,NETSPA,0.004686800006311387
merged_f1_t280,merged,280,1,1,TVA,0.004686800006311387
merged_f1_t280,merged,280,1,1,MULTI,0.004686800006311387
merged_f1_t280,merged,280,1,2,NETSPA,0.014101800014032051
merged_f1_t280,merged,280,1,2,TVA,0.014101800014032051
merged_f1_t280,merged,280,1,2,MULTI,0.014101800014032051
merged_f1_t280,merged,280,1,3,NETSPA,0.006249099998967722
merged_f1_t280,merged,280,1,3,TVA,0.006249099998967722
merged_f1_t280,merged,280,1,3,MULTI,0.006249099998967722
merged_f1_t290,merged,290,1,0,NETSPA,0
merged_f1_t290,merged,290,1,0,TVA,0
merged_f1_t290,merged,290,1,0,MULTI,0
merged_f1_t290,merged,290,1,1,NETSPA,0.0050304999749641865
merged_f1_t290,merged,290,1,1,TVA,0.0050304999749641865
merged_f1_t290,merged,290,1,1,MULTI,0.0050304999749641865
merged_f1_t290,merged,290,1,2,NETSPA,0.011336199997458607
merged_f1_t290,merged,290,1,2,TVA,0.011336199997458607
merged_f1_t290,merged,290,1,2,MULTI,0.011336199997458607
merged_f1_t290,merged,290,1,3,NETSPA,0.013969099993119016
merged_f1_t290,merged,290,1,3,TVA,0.013969099993119016
merged_f1_t290,merged,290,1,3,MULTI,0.013969099993119016
merged_f1_t30,merged,30,1,0,NETSPA,0
merged_f1_t30,merged,30,1,0,TVA,0
merged_f1_t30,merged,30,1,0,MULTI,0
merged_f1_t30,merged,30,1,1,NETSPA,0.004282599984435365
merged_f1_t30,merged,30,1,1,TVA,0.004282599984435365
merged_f1_t30,merged,30,1,1,MULTI,0.004282599984435365
merged_f1_t30,merged,30,1,2,NETSPA,0.00990609999280423
merged_f1_t30,merged,30,1,2,TVA,0.00990609999280423
merged_f1_t30,merged,30,1,2,MULTI,0.00990609999280423
merged_f1_t30,merged,30,1,3,NETSPA,0.006278399989241734
merged_f1_t30,merged,30,1,3,TVA,0.006278399989241734
merged_f1_t30,merged,30,1,3,MULTI,0.006278399989241734
merged_f1_t300,merged,300,1,0,NETSPA,0
merged_f1_t300,merged,300,1,0,TVA,0
merged_f1_t300,merged,300,1,0,MULTI,0
merged_f1_t300,merged,300,1,1,NETSPA,0.005128200020408258
merged_f1_t300,merged,300,1,1,TVA,0.005128200020408258
merged_f1_t300,merged,300,1,1,MULTI,0.005128200020408258
merged_f1_t300,merged,300,1,2,NETSPA,0.009944199991878122
merged_f1_t300,merged,300,1,2,TVA,0.009944199991878122
merged_f1_t300,merged,300,1,2,MULTI,0.009944199991878122
merged_f1_t300,merged,300,1,3,NETSPA,0.005416500003775582
merged_f1_t300,merged,300,1,3,TVA,0.005416500003775582
merged_f1_t300,merged,300,1,3,MULTI,0.005416500003775582
merged_f1_t310,merged,310,1,0,NETSPA,0
merged_f1_t310,merged,310,1,0,TVA,0
merged_f1_t310,merged,310,1,0,MULTI,0
merged_f1_t310,merged,310,1,1,NETSPA,0.0036395000061020255
merged_f1_t310,merged,310,1,1,TVA,0.0036395000061020255
merged_f1_t310,merged,310,1,1,MULTI,0.0036395000061020255
merged_f1_t310,merged,310,1,2,NETSPA,0.007041400007437915
merged_f1_t310,merged,310,1,2,TVA,0.007041400007437915
merged_f1_t310,merged,310,1,2,MULTI,0.007041400007437915
merged_f1_t310,merged,310,1,3,NETSPA,0.005081999988760799
merged_f1_t310,merged,310,1,3,TVA,0.005081999988760799
merged_f1_t310,merged,310,1,3,MULTI,0.005081999988760799
merged_f1_t320,merged,320,1,0,NETSPA,0
merged_f1_t320,merged,320,1,0,TVA,0
merged_f1_t320,merged,320,1,0,MULTI,0
merged_f1_t320,merged,320,1,1,NETSPA,0.0032337000011466444
merged_f1_t320,merged,320,1,1,TVA,0.0032337000011466444
merged_f1_t320,merged,320,1,1,MULTI,0.0032337000011466444
merged_f1_t320,merged,320,1,2,NETSPA,0.01168250001501292
merged_f1_t320,merged,320,1,2,TVA,0.01168250001501292
merged_f1_t320,merged,320,1,2,MULTI,0.01168250001501292
merged_f1_t320,merged,320,1,3,NETSPA,0.005479700019350275
merged_f1_t320,merged,320,1,3,TVA,0.005479700019350275
merged_f1_t320,merged,320,1,3,MULTI,0.005479700019350275
merged_f1_t330,merged,330,1,0,NETSPA,0
merged_f1_t330,merged,330,1,0,TVA,0
merged_f1_t330,merged,330,1,0,MULTI,0
merged_f1_t330,merged,330,1,1,NETSPA,0.004010100004961714
merged_f1_t330,merged,330,1,1,TVA,0.004010100004961714
merged_f1_t330,merged,330,1,1,MULTI,0.004010100004961714
merged_f1_t330,merged,330,1,2,NETSPA,0.006001000001560897
merged_f1_t330,merged,330,1,2,TVA,0.006001000001560897
merged_f1_t330,merged,330,1,2,MULTI,0.006001000001560897
merged_f1_t330,merged,330,1,3,NETSPA,0.0035247000050731003
merged_f1_t330,merged,330,1,3,TVA,0.0035247000050731003
